text,product,target,processed
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,2,pure unadulterated awesome easier browse event website
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,2,okay really android kthxbai
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,2,photo installed really nice http tumblr
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,2,really enjoying change gowalla android looking forward seeing else foursquare sleeve
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,2,looking forward smcdallas party hoping resulting shameless promotion chevysmc
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,2,haha awesomely http htdfim hollergram
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,2,someone started austin group group great idea
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,2,look like going rock update android push tonight http etsbzk keepaustinweird
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,2,right android sweeeeet nice team
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,2,smart hollergram http xvwc leave vuvuzela home
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,2,must going http itunes holler gram hollergram
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,1,attn frineds register gdgtlive cobra iradar android
Anyone at  #sxsw want to sell their old iPad?,,1,anyone want sell
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,1,anyone bought want sell older
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,1,oooh launch major social network called circle possibly today
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,2,best first line store event planner eventprofs pcma engage
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,1,spin play concept music discovery spin itunes
@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,0,false alarm circle coming probably ever circles social
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,1,vatornews force print medium evolve
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,2,great weather greet still need sweater night putting flash store downtown sell
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",,1,hootsuite hootsuite mobile update blackberry android whether getting friend
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,,1,long think take make case answer using zazzlesxsw make
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,1,mashable take video gadgets
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,1,ubersocial store includes uberguide sponsored
#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,2,smartcover open instant access waited
Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,2,hand held hobo drafthouse launch hobo shotgun
HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,2,hooray opening store
Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,,1,orly launch social network circles today
wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,2,wooooo store downtown open midnight
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,1,khoi vinh say conde nast headlong rush publishing fundamental misunderstanding platform
"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,1,help forward anonymous account techie help libya
÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,1,edchat musedchat classical newtwitter
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,1,location based fast future
ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,,1,connect digital physical world mobile
ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,2,talking effort allow user open system bettercloud
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,1,tweet think speak mark belinsky tweet panel
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,2,stop chaos hunt java game chance
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,1,check holler gram
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,1,kawasaki talk enchanted know stuff books internet
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,1,futuremf spec recipe search
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,2,omfg heard store downtown pic already gowalla
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,1,smile think store would interesting actually know popped
Again? RT @mention Line at the Apple store is insane.. #sxsw,,0,line store insane
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,1,agree wait fiona town somebody kidnap recording studio record album
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,1,wanna drink fado join
attending @mention iPad design headaches #sxsw {link},iPad,0,attending design headache
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,0,boooo flipboard developing version android say
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,2,check line power
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,1,check giving added value location based service need battle check fatigue pnid
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,1,chilcott stand talking blogger staff late competition best tweet mentioning shirt
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,2,come party tonight band food cream nifty interactive map
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,1,gowalla promise launch foursquare check groupon reward type service finger crossed
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,1,news yahoo loosing search traffic site doubt last weird name
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,2,holla party best ever butt
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,2,love case phone fail
I worship @mention {link} #SXSW,,1,worship
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,1,droid agnerd confession using laptop blackberry follow
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,1,launching denies social network called circle debut today despite report
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,2,post make easy connect social network people meet
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,2,nice behaving today crash yesterday ridiculous
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,1,nice opening popup store launch downtown
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,2,nice fan peek space slated store tomorrow
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,2,thing great great earth face company love sxwsi
Stay tune @mention showcase #H4ckers {link} #SXSW,,1,stay tune showcase ckers
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,1,thank touchingstories preso deck
Thank you @mention for an awesome #sxsw party! {link},,1,thank awesome party
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,1,thanks trying contact friend family japan created person finder
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,2,thanks mention speech apps showcased conf sxswh sxsh
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,,1,thanks publishing news medical apps conf blog sxswh
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,1,thanks publishing news medical apps conf blog sxswh mhealth
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,0,doe provide charger changed mind going next year
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,1,wonder flashmob tcrn
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,1,wonder putting tip suxsw
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,2,xmas shiny apps book store christmas nerd
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,2,ubersocial store includes uberguide sponsored cont
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,1,another free
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,2,fast future presenting search local mobile
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,1,industry party tonight austin welivehere gsdm
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,1,buzz launch major social network called circle possibly today
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,2,headline must gadget could seen coming gadget
ÛÏ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,,1,opened store nerd town ipads wow
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,0,know dataviz translates satanic sayin
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,2,launched checkins month check check future bizzy
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,1,launched checkins month check check future bizzy
"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,2,tweet think speak mark belinsky tweet panel
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,1,attending left brain search right brain search bettersearch talking future search engine
#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,1,open mobile park content incubator construct store
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,2,kawasaki lewis level reasoning continued existence evidence existence bawling
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,1,kawasaki pagemaker saved day jwtatl enchantment
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,2,kawasaki pagemaker saved day jwtatl enchantment
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,2,spark android teamandroid award read
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,1,unboxing store
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,2,great thought japan apac region dealing earthquake tsunami trauma
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,1,school marketing expert cnet blog
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,2,school marketing expert
"At #SXSW, #Apple schools the marketing experts {link}",,1,school marketing expert
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,2,temporary store tent powerhouse
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,2,temporary store congress along happy hipster
ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,2,win opening temporary store downtown support launch good
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,2,austin trending today nerdy nerd
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",,1,headed austin check newbie enjoy
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,,1,funny austin trending matter minute point least according twitter
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,2,christian devs want talk maybe together cool
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,,1,uxdes remember ultimately aware audience targeted towards unexpected experience good
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,2,taken austin storm excited part mobile
I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,2,ifrom
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,2,stack waiting bought mine hassle handled perfectly
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",,1,mobile future elusive power eurorscg
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",,1,notatsxsw free download meet nearby pep
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,2,doe smallbiz need review play place seo
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,,1,doe smallbiz need review play place seo
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",,1,samsung sony follow lead austin atx
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",,1,samsung sony follow lead austin atx
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,2,take major south korean director get make movie entirely
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,2,beautiful store
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,,1,prep amazing push locally focus location based owns region billboard chat
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,,1,account need follow apps download
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,,1,headed want share gather contact info turn business card broadcaster
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},,1,headed want share gather contact info turn
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,,1,store sold model
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,2,must lovely review forbes holler gram
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,2,temporary store sneaky usual
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,,1,anyone store gotta hopping place today
ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,2,beta testing interactive book moonbot studio louisiana cool
Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,2,seeing
#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,,1,fastball giving away wifi black cover tweet info attsxsw tonight house
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,,1,anyone chance check store wondering worth trek convention center
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,iPad,2,store sold everything except wifi white manage
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,iPad,2,store sold everything except wifi white also known white jean configuration
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,2,offered promo ninjafinder user fan suck
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,,1,conference search interactive music film
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,,1,anyone know selling
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,,1,anyone know store shipment ipads
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,,1,marc ecko launch autodial political change edreform edtech eduvc fightthepaddle
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,2,poursite learning life changing impact real people actual life bravo
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,,2,lonelyplanet guide free limited time travel
"More free #SXSW mp3 downloads, this time from iTunes: {link}",,1,free downloads time itunes
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,,1,anyone heading aclu event seen circle
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,,1,prompt memory describe childhood walk
The Apple #SXSW store still has iPad 2's and short lines.,iPad,2,store still short line
Essential #sxsw tools: {link},,1,essential tool
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,2,left tradeshow demo theatre presenter using
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",,1,following tweet realtime four platform tweet deck listening panel realizing spoken today
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,,1,anyone want line pick someone willing grab
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,2,anyone want make quick hundred dollar store get hundred plus cost
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),,1,solving induced toilet crisis store crisis
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,2,monday barry diller york time congress lunch hotel party party dirty martini monday
Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,,1,attending guide free download itunes
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,0,seriously testing mobile apps constant crash causing lost schedule sync
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,2,ready apps make blogging easier
ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,0,conflagration doofusness
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,2,attention rumored temporary store launch need
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,2,went lousy
Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},,1,folk want learn security come bsidesaustin
Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,,1,attending work game development looking hire based developer talk
This is a #WINNING picture #android #google #sxsw {link},Android,2,winning picture android
GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,,1,best party tonight
GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},,1,industry party great meet
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,0,spent come already used wait couple city block
#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},,1,marissa mayer connect digital physical world mobile
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,2,behind email give line composed reply protip
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,2,like night line around block popup store selling
.@mention 1154 free songs from #SXSW (this year alone!) {link},,1,free song year alone
more than 150 million mobile users for Google Maps for Mobile #SXSW,,1,million mobile user map mobile
Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,,1,currently people line store
"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",,1,available wifi model plus optional leather smart cover
÷¼ We love 2 entertain youÛ_Please donÛªt be grateful! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,1,love entertain please grateful edchat musedchat classical newtwitter
Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,,1,le hour announce detail giveaway
"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,0,seen wild people fast still pic terrible
(The iPad 2 queue at #sxsw of course,,1,queue course
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,2,take video
many iPad 2's snapping away at the keynote slides! #sxsw,iPad,2,many snapping away keynote slide
Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,,1,user credit card sync itunes click purchase winning
Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,,1,cocktail texas snowflake cnngrill
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,2,post apps using south southwest interactive
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link},,1,post apps using south southwest interactive
sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,2,sweet map demo going ballroom
More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,2,million mile driving map navigation
rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider ÛÒ about 250 people! Only one more hour. ' #sxsw,,1,line store longer wider people hour
"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",,1,smart packing extra sunny extra stow case
"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",,1,wonder sqwill attempt block gowalla cross checkins facebook blocked contact connection lbswars
#SXSW day 5 at the #apple store and there's still a line...and growing {link},Apple,2,store still line growing
"Check out 5 Steps to Bulletproof UX Strategy at SXSW
{link} #SXSW #rhjr_ux5  {link}",,1,check step bulletproof strategy rhjr
"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",,1,wandering street girl stopped ceviche mojitos juice cream
"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,2,band want share track audience stage frostwire android available
We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW,,1,busy week ahead book apps available amazon attending
"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",,1,believe went aussie sold went buyer report
ÛÏ@mention A Google Spreadsheet of over 270 parties at #SXSW this year O_O {link} @mention Plan on going to #SXSW Party on,,1,spreadsheet party year plan going party
"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw",,1,line store sixth street told
if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,2,need zimride share ride shareable
"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",,1,seen tablet every single
